Pin Designator,Pin Display Name,Electrical Type,Pin Alternate Name,Grouping
13,P00_0,I/O,TAUD0O4/IRQ15/CAN0TX/TAUD0I2/PWGC10O/CSIH0SSI/DPO/TAUJ2O3/TAUJ2I1/EXTCLK0O/LPSTMOUT3/IRQ15,Port Pins_00
14,P00_1,I/O,TAUD0I4/CAN0RX/IRQ0/TAUD0O6/IRQ0/PWGC11O/CSIH0SI/APO/TAUJ2O0/TAUJ2I2/CAN0RX/LPSTMOUT4/IRQ0/CAN0RX/IRQ0,Port Pins_00
15,P00_2,I/O,TAUD0O8/CAN1RX/IRQ1/RLIN30TX/TAUD0I6/PWGC12O/CSIH0SC/CSIH0SC/IRQ1/DPO/TAUJ2I3/TAUJ2O1/CAN1RX/CSIH1CSS2/IRQ1/CAN1RX/IRQ1,Port Pins_00
16,P00_3,I/O,TAUD0I8/RLIN30RX/IRQ8/CXP10RX/CAN1TX/DPIN1/PWGC13O/CSIH0DCS/CSIH0SO/IRQ10/TAUD0O10/TAUJ1I0/RLIN30RX/CXP10RX/TAUJ1O2/CSIH1RYI/CSIH1RYO/IRQ10/DPIN1,Port Pins_00
17,E0VCC,Power,,Positive_AA_VCC_E*VCC
18,P00_4,I/O,RLIN31RX/IRQ9/CXP11RX/CAN2TX/IRQ11/PWGC10O/CSIH1SI/SELDP0/DPIN8/TAUD1O14/TAUD1I12/RLIN31RX/CXP11RX/LPSTMOUT0/IRQ11/DPIN8,Port Pins_00
19,P00_5,I/O,CAN2RX/IRQ2/RLIN31TX/DPIN9/SELDP1/CSIH1DCS/CSIH1SO/IRQ8/TAUD1O12/TAUD1I14/CXP11TX/CAN2RX/LPSTMOUT1/IRQ8/DPIN9/CAN2RX/IRQ2,Port Pins_00
20,P00_6,I/O,IRQ2/DPIN10/SELDP2/CSIH1SC/CSIH1SC/TAUD1O2/PWGC35O/TAUD1I0/LPSTMOUT2/IRQ2/DPIN10,Port Pins_00
21,P00_11,I/O,RIIC0SDA/RIIC0SDA/DPIN12/CSIH1CSS2/IRQ4/PWGC34O/TAUD1I8/TAUD1O10/IRQ4/DPIN12,Port Pins_00
22,P00_12,I/O,RIIC0SCL/RIIC0SCL/DPIN13/PWGC45O/TAUD1O0/IRQ13/TAUD1I10/IRQ13/DPIN13,Port Pins_00
23,P00_13,I/O,RLIN32RX/IRQ10/IRQ12/PWGC46O/TAUD1O14/TAUD1I12/CAN5RX/IRQ5/RLIN32RX/CAN5RX/IRQ12/CAN5RX/IRQ5,Port Pins_00
24,P00_14,I/O,IRQ17/RLIN32TX/PWGC47O/TAUD1O12/TAUD1I14/CAN5TX/IRQ17,Port Pins_00
25,P01_0,I/O,RLIN33RX/IRQ11/IRQ13/TAUJ2I0/TAUJ2O2/RLIN33RX/IRQ13,Port Pins_00
26,P01_1,I/O,IRQ18/RLIN33TX/TAUJ2I1/TAUJ2O3/IRQ18,Port Pins_00
27,P01_2,I/O,CAN3RX/IRQ3/IRQ3/DPIN19/TAUJ2I2/TAUJ2O0/CAN3RX/IRQ3/DPIN19/CAN3RX/IRQ3,Port Pins_00
28,P01_3,I/O,IRQ19/CAN3TX/DPIN23/TAUJ2I3/TAUJ2O1/IRQ19/DPIN23,Port Pins_01
29,EVSS,Power,,Negative_X_VSS_EVSS
30,P08_2,I/O,ADCK0I4S/TAUJ0I0/DPIN2/CSIH0CSS0/IRQ6/PWGC22O/TAUD1I6/RLIN37TX/ERRORIN/RSENT0RX/RSENT0SPCO/TAUJ0O2/TAUD1O8/IRQ6/DPIN2,Port Pins_08
31,P08_10,I/O,ADCK0I17S/CSIH3CSS3/DPIN14/PWGC42O/RLIN37RX/IRQ15/RLIN37RX/DPIN14/RLIN37RX/IRQ15,Port Pins_08
32,P08_11,I/O,ADCK0I12S/TAUJ1I2/DPIN15/PWGC43O/CSIH1CSS3/TAUJ1O0/DPIN15,Port Pins_08
33,P08_12,I/O,ADCK0I13S/TAUJ1I3/DPIN16/PWGC44O/IRQ23/TAUJ1O1/IRQ23/DPIN16,Port Pins_08
34,JP0_5,I/O,NMI/RTCA0OUT/TAUJ3O1/TAUJ3I3/NMI,JP0_*
35,\TRST,Input,,JTAG*_JTAG_*
36,JP0_3,I/O,TMS/SWDIO/IRQ3/TAUJ3O0/TAUJ3I2/IRQ3,JP0_*
37,JP0_2,I/O,TCK/SWCLK/IRQ2/TAUJ3O3/FPCK/TAUJ3I1/IRQ2,JP0_*
38,JP0_1,I/O,TDO/SWO/IRQ1/TAUJ3O2/FPDT/TAUJ3I0/IRQ1,JP0_*
39,JP0_0,I/O,TDI/IRQ0/TAUJ2O2/FPDR/TAUJ2I0/IRQ0,JP0_*
40,P01_11,I/O,ADCK1TRG2/DPIN22/IRQ14/IRQ14/DPIN22,Port Pins_01
41,P01_10,I/O,DPIN21/IRQ22/ADCK1TRG1/IRQ22/DPIN21,Port Pins_01
42,P01_9,I/O,RLIN34TX/DPIN20/IRQ21/IRQ21/DPIN20,Port Pins_01
43,P01_8,I/O,RLIN34RX/IRQ12/IRQ14/IRQ14/RLIN34RX/IRQ12,Port Pins_01
44,\RESET,Input,RESET,RESET_-pins
45,E0VCC,Power,,Positive_AA_VCC_E*VCC
46,IP0_0,Input,XT1,IP0_0
47,IP0_1,Input,XT2,IP0_0
48,VSS,Power,,Negative_X_VSS_ZPins
49,AWOVCL,Power,,Positive_Z_VCL_AWOVCL
50,SYSVCC,Power,,Positive_AA_VCC_SYSVCC
51,X2,Output,,CLK*_AX*
52,X1,Input,,CLK*_AX*
53,FLMD,Input,,FLMD*
54,JP0_6,I/O,TRIGOUT,JP0_*
55,P00_10,I/O,IRQ3/CSIH1CSS1/DPIN11/TAUD1O8/CAN4TX/TAUD1I6/IRQ3/DPIN11,Port Pins_00
56,P00_9,I/O,IRQ12/CSIH1CSS0/DPIN7/TAUD1O6/CAN4RX/IRQ4/TAUD1I4/CAN4RX/IRQ12/DPIN7/CAN4RX/IRQ4,Port Pins_00
57,P00_8,I/O,IRQ16/DPIN6/CSIH1SSI/TAUD1O4/CAN3TX/TAUD1I2/IRQ16/DPIN6,Port Pins_00
58,P00_7,I/O,IRQ14/DPIN5/EXTCLK0O/CSIH1RYI/CSIH1RYO/CAN3RX/IRQ3/CAN3RX/IRQ14/DPIN5/CAN3RX/IRQ3,Port Pins_00
59,EVSS,Power,,Negative_X_VSS_EVSS
60,VSS,Power,,Negative_X_VSS_ZPins
61,ISOVCL,Power,,Positive_Z_VCL_ISOVCL
62,P01_5,I/O,ADCK1TRG0/RLIN35TX/DPIN17/IRQ20/CSIH4SC/CSIH4SC/IRQ20/DPIN17,Port Pins_01
63,P01_4,I/O,RLIN35RX/IRQ13/IRQ15/DPIN18/CSIH4SI/RLIN35RX/IRQ15/DPIN18/RLIN35RX/IRQ13,Port Pins_01
64,P08_0,I/O,ADCK0I0S/TAUJ0I0/DPIN2/PWGC14O/IRQ4/CSIH0CSS0/CANXL0RXD/IRQ6/TAUJ0O2/RIIC1SDA/RIIC1SDA/RSENT0RX/TAUD1O4/CANXL0RXD/TAUD1I2/IRQ4/DPIN2/CANXL0RXD/IRQ6,Port Pins_08
65,P08_1,I/O,ADCK0I1S/TAPA0ESO/DPIN0/PWGC15O/IRQ5/CSIH1CSS3/TAUJ0I1/CANXL0TXD/RIIC1SCL/RIIC1SCL/TAUD1I4/RSENT0SPCO/TAUJ0O3/TAUD1O6/IRQ5/DPIN0,Port Pins_08
66,P08_3,I/O,ADCK0I5S/TAUJ0I1/DPIN3/CSIH0CSS1/IRQ7/PWGC23O/TRIGIN/TAUD1I8/RSENT0SPCO/TAUJ0O3/TAUD1O10/IRQ7/DPIN3,Port Pins_08
67,P08_4,I/O,ADCK0I6S/TAUJ0I2/DPIN4/CSIH0CSS2/IRQ8/PWGC36O/EXTCLK0O/TAUD1I10/TAUJ0O0/TAUD1O0/IRQ8/DPIN4,Port Pins_08
68,P08_5,I/O,ADCK0I7S/TAUJ0I3/NMI/CSIH0CSS3/IRQ9/PWGC37O/TAUJ0O1/IRQ9,Port Pins_08
69,\RESETOUT,Output,ADCK0I8S/PWGC38O/RTCA0OUT,RESET_-pins
70,P08_7,I/O,SCL,Port Pins_08
71,P08_8,I/O,SDA,Port Pins_08
72,P08_9,I/O,,Port Pins_08
73,A0VSS,Power,,Negative_X_VSS_AVSS
74,A0VREFH,Power,,Positive_RefVol3_A*VREF_A*VREFH
75,AP0_15,I/O,ADCK0I15,Analog input_AP0_*
76,AP0_14,I/O,ADCK0I14,Analog input_AP0_*
77,AP0_13,I/O,ADCK0I13,Analog input_AP0_*
78,AP0_12,I/O,ADCK0I12,Analog input_AP0_*
79,AP0_11,I/O,ADCK0I11,Analog input_AP0_*
80,AP0_10,I/O,ADCK0I10,Analog input_AP0_*
81,AP0_9,I/O,ADCK0I9,Analog input_AP0_*
82,AP0_8,I/O,ADCK0I8,Analog input_AP0_*
83,AP0_7,I/O,ADCK0I7,Analog input_AP0_*
84,AP0_6,I/O,ADCK0I6,Analog input_AP0_*
85,AP0_5,I/O,ADCK0I5,Analog input_AP0_*
86,AP0_4,I/O,ADCK0I4,Analog input_AP0_*
87,AP0_3,I/O,ADCK0I3,Analog input_AP0_*
88,AP0_2,I/O,ADCK0I2,Analog input_AP0_*
89,AP0_1,I/O,ADCK0I1,Analog input_AP0_*
90,AP0_0,I/O,ADCK0I0,Analog input_AP0_*
91,EVSS,Power,,Negative_X_VSS_EVSS
92,P09_0,I/O,RSIPMGPIO0/ADCK0I2S/NMI/PWGC8O/TAUD0I0/RLIN33TX/ADCK0TRG0/CSIH2CSS0/RLIN38RX/IRQ16/TAUD0O2/TAUJ1I1/TAUJ1O3/RSENT1RX/RSENT1SPCO/RIIC0SDA/RIIC0SDA/RLIN38RX/PWGC20O/TAUD2O3/TAUD2I1,Port Pins_09
93,P09_1,I/O,RSIPMGPIO1/ADCK0I3S/IRQ11/PWGC9O/RLIN33RX/TAUD0O4/ERRORIN/CSIH2CSS1/TAUD0I2/RLIN38TX/RLIN33RX/IRQ11/TAUJ1O0/TAUJ1I2/RSENT1SPCO/RIIC0SCL/RIIC0SCL/PWGC21O/TAUD2O5/TAUD2I3,Port Pins_09
94,P09_2,I/O,ADCK0I9S/PWGC20O/TAPA0ESO/CSIH2CSS2/ERROROUT/PSI50RX/EXTCLK1O/RLIN39RX/IRQ17/RLIN39RX/RSENT2RX/RSENT2SPCO/RLIN36TX,Port Pins_09
95,P09_3,I/O,ADCK0I10S/TAUJ1I1/PWGC21O/RLIN36RX/IRQ14/CSIH2CSS3/RLIN36RX/TAUJ1O3/IRQ16/PSI50TX/RLIN39TX/RSENT2SPCO,Port Pins_09
96,P09_4,I/O,ADCK0I11S/TAUJ1I0/PWGC33O/TAUJ1O2/IRQ17/RLIN310RX/IRQ18/RLIN310RX/RSENT7RX/RSENT7SPCO,Port Pins_09
97,VSS,Power,,Negative_X_VSS_ZPins
98,SYSVCC,Power,,Positive_AA_VCC_SYSVCC
99,P20_5,I/O,IRQ23/PWGC60O,Port Pins_20
100,P20_4,I/O,IRQ22/PWGC59O,Port Pins_20
101,E0VCC,Power,,Positive_AA_VCC_E*VCC
102,AP2_7,I/O,ADCK1I7,Analog input_AP2_*
103,AP2_6,I/O,ADCK1I6,Analog input_AP2_*
104,AP2_5,I/O,ADCK1I5,Analog input_AP2_*
105,AP2_4,I/O,ADCK1I4,Analog input_AP2_*
106,AP2_3,I/O,ADCK1I3,Analog input_AP2_*
107,AP2_2,I/O,ADCK1I2,Analog input_AP2_*
108,AP2_1,I/O,ADCK1I1,Analog input_AP2_*
109,AP2_0,I/O,ADCK1I0,Analog input_AP2_*
110,A1VREFH,Power,,Positive_RefVol3_A*VREF_A*VREFH
111,A1VSS,Power,,Negative_X_VSS_AVSS
112,E1VCC,Power,,Positive_AA_VCC_E*VCC
113,ISOVCL,Power,,Positive_Z_VCL_ISOVCL
114,VSS,Power,,Negative_X_VSS_ZPins
115,P18_0,I/O,ADCK1I0S/PWGC61O/TAUJ3O2/TAUJ3I0,Port Pins_18
116,P18_1,I/O,ADCK1I1S/PWGC62O/TAUJ3O3/TAUJ3I1,Port Pins_18
117,P18_2,I/O,ADCK1I2S/PWGC63O/TAUJ3O0/TAUJ3I2,Port Pins_18
118,P18_3,I/O,ADCK1I3S/TAUJ3O1/TAUJ3I3,Port Pins_18
119,EVSS,Power,,Negative_X_VSS_EVSS
120,P10_6,I/O,TAUD0O15/TAUD0I13/ENCA0TIN0/CAN1RX/IRQ1/SSIF1RXD/RSENT4SPCO/RLIN312RX/IRQ20/CAN1RX/ADCK0SEL2/MMCA0CLK/ETH0_MII_TX_ER/TAUD2I15/CSIH5RYI/CSIH5RYO,Port Pins_10
121,P10_7,I/O,TAUD0O13/TAUD0I15/ENCA0TIN1/PWGC4O/ADCK0TRG3/CAN1TX/SSIF1TXD/RLIN312TX/TAUJ3I1/TAUJ3O3/MMCA0DAT0/MMCA0DAT0/ETH0_MDIO/ETH0_MDIO/TAUD2O2/TAUD2I0/CSIH5CSS0/CSIH2DCS/CSIH2SO,Port Pins_10
122,P10_8,I/O,MODE/TAUD0O0/TAUD0I10/ENCA0EC/PWGC5O/ADCK0TRG4/SSIF1BCK/SSIF1BCK/TAUJ3I2/TAUJ3O0/MMCA0DAT1/MMCA0DAT1/ETH0_MDC/TAUD2O4/TAUD2I2/CSIH5CSS1/CSIH2SSI,Port Pins_10
123,P10_9,I/O,TAUD0O14/RLIN30RX/IRQ8/CXP10RX/ENCA0E0/PWGC6O/CSIH0RYI/CSIH0RYO/SSIF1LRCK/SSIF1FS/TAUD0I12/ADCK0END0/RLIN30RX/CXP10RX/MMCA0DAT2/MMCA0DAT2/ETH0_MII_RXD3/TAUD2O6/TAUD2I4/CSIH2CSS2,Port Pins_10
124,P10_10,I/O,TAUD0O12/TAUD0I14/RLIN30TX/ENCA0E1/PWGC7O/CSIH0CSS1/SSIFACK/ADCK0END1/PSI51RX/CXP10TX/TAUJ3I3/TAUJ3O1/MMCA0DAT3/MMCA0DAT3/ETH0_MII_RXD2/TAUD2O8/TAUD2I6/CSIH2CSS3,Port Pins_10
125,P10_11,I/O,PWGC16O/RLIN31RX/IRQ9/CXP11RX/CSIH1CSS0/TAUD1O3/TAUD1I1/ADCK0END2/PSI51TX/RLIN31RX/CXP11RX/MMCA0DAT4/MMCA0DAT4/ETH0_MII_RX_CLK/TAUD2O10/TAUD2I8/CSIH2SI,Port Pins_10
126,P10_12,I/O,PWGC17O/IRQ24/RLIN31TX/CSIH1CSS1/TAUD1O5/TAUD1I3/ADCK0END3/CXP11TX/CSIH3CSS3/MMCA0DAT5/MMCA0DAT5/ETH0_PHY_INT/TAUD2O0/TAUD2I10/ETS0_MDC/CSIH2SC/CSIH2SC,Port Pins_10
127,P10_13,I/O,CSIH0SSI/PWGC18O/RLIN32RX/IRQ10/ERRORIN/TAUD1O7/TAUD1I5/ADCK0END4/CSIH3DCS/CSIH3SO/RLIN32RX/TAUD2O14/MMCA0DAT6/MMCA0DAT6/ETH0_LINKSTA/RLIN34TX/TAUD2I12/ETS0_MDIO/ETS0_MDIO/CSIH2RYI/CSIH2RYO,Port Pins_10
128,P10_14,I/O,ADCK1TRG0/PWGC19O/RLIN32TX/CSIH3SSI/ERROROUT/RLIN34RX/IRQ12/TAUD1O9/TAUD1I7/RLIN34RX/RLIN312RX/TAUD2O12/MMCA0DAT7/MMCA0DAT7/ETH_PPS0/TAUD2I14/ETS0_PPS,Port Pins_10
129,P11_1,I/O,CSIH2SSI/RLIN313RX/IRQ21/IRQ20/PWGC26O/TAUD1I9/PWGC31O/RLIN313RX/ADCK1END1/CSIH4CSS0/TAUD1O11/MMCA0CMD/MMCA0CMD/ETH_PPS1/CSIH3SC/CSIH3SC,Port Pins_11
130,P11_2,I/O,CSIH2DCS/CSIH2SO/RLIN32RX/IRQ10/RLIN313TX/PWGC27O/TAUD1I11/CSIH4SI/ADCK1END2/SFMA0IO3/SFMA0IO3/RLIN32RX/TAUD1O1/CSIH5CSS2/ETH0_MII_RX_ER/ETH0_RMII_ER/CSIH3CSS0,Port Pins_11
131,P11_3,I/O,CSIH2SC/CSIH2SC/CAN3RX/IRQ3/PWGC28O/TAUD2O3/ADCK1END3/RLIN32TX/SFMA0IO2/SFMA0IO2/CAN3RX/TAUD1I13/CSIH5CSS3/ETH0_MII_RXD1/TAUD1O13/ETH0_RMII_RXD1/RSENT5SPCO/TAUD2I1/CSIH3CSS1/CSIH4DCS/CSIH4SO,Port Pins_11
132,P11_4,I/O,CSIH2SI/CAN3TX/IRQ21/PWGC29O/TAUD2O5/ADCK1END4/SFMA0IO1/SFMA0IO1/RSENT5RX/RSENT5SPCO/TAUD1I15/ETH0_MII_RXD0/TAUD1O15/ETH0_RMII_RXD0/TAUD2I3/CSIH3CSS2/CSIH4SC/CSIH4SC,Port Pins_11
133,P11_5,I/O,CAN5RX/IRQ5/RLIN33TX/ADCK1TRG3/PWGC30O/CSIH3SI/TAUD2O7/SFMA0IO0/SFMA0IO0/CAN5RX/IRQ22/ETH0_MII_RX_DV/ETH0_RMII_RX_DV/TAUD2I5/CSIH4RYI/CSIH4RYO,Port Pins_11
134,P11_6,I/O,RLIN33RX/IRQ11/CAN5TX/ADCK1TRG1/PWGC31O/CSIH3DCS/CSIH3SO/TAUD2O9/IRQ19/SFMA0SSL/RLIN33RX/RSENT6RX/RSENT6SPCO/CSIH4SSI/ETH0_RMII_TX_EN/TAUD2I7,Port Pins_11
135,P11_7,I/O,IRQ5/ADCK1TRG4/PWGC32O/CSIH3SC/CSIH3SC/TAUD2O11/SFMA0CLK/RSENT6SPCO/CSIH4CSS3/TAUD2I9,Port Pins_11
136,P11_15,I/O,CAN2RX/IRQ2/PWGC55O/TAUD2O10/RLIN36TX/CAN2RX/TAUD2I8,Port Pins_11
137,P12_0,I/O,CAN2TX/PWGC56O/TAUD2O0/RLIN36RX/IRQ14/RLIN36RX/TAUD2I10,Port Pins_12
138,P12_1,I/O,RLIN34RX/IRQ12/PWGC57O/TAUD2O14/RLIN34RX/TAUD2I12,Port Pins_12
139,P12_2,I/O,IRQ19/RLIN34TX/PWGC58O/TAUD2O12/TAUD2I14,Port Pins_12
140,E1VCC,Power,,Positive_AA_VCC_E*VCC
141,EVSS,Power,,Negative_X_VSS_EVSS
142,P10_0,I/O,TAUD0I1/CAN0RX/IRQ0/EXTCLK1O/CANXL0RXD/IRQ6/PWGC0O/TAUJ1I3/TAPA0UP/CSIH1SI/RLIN310TX/TAUJ1O1/CAN0RX/RSENT7SPCO/CANXL0RXD/TAUD0O3/TAUD1I9/ETH0_MII_TXD3/IRQ16/TAUD1O11/ETS0_RX_MDC/ETS0_RX_MDC/TAUD2O7,Port Pins_10
143,P10_1,I/O,TAUD0O5/IRQ18/CAN0TX/TAUD0I3/PWGC1O/TAUJ3I0/TAPA0UN/CSIH1SC/CSIH1SC/RLIN33RX/IRQ11/RLIN33RX/TAUJ3O2/CANXL0TXD/TAUD1I11/ETH0_MII_TXD2/TAUD1O1/ETS0_ED_MDIO/ETS0_ED_MDIO/TAUD2I5/RLIN35TX/TAUD2O9,Port Pins_10
144,P10_2,I/O,TAUD0O7/RI3C0SDA/RI3C0SDA/TAUD0I5/PWGC2O/ADCK0TRG0/TAPA0VP/CSIH1DCS/CSIH1SO/RLIN35RX/IRQ13/RLIN35RX/RLIN37TX/SSIF0RXD/TAUD1I13/ETH0_MII_TX_EN/TAUD1O15/ETS0_TX/TAUD2I7/RLIN33TX/TAUD2O11,Port Pins_10
